texto,etiqueta,prediction,fecha_proceso
Amazing experience with the service,positivo,0,2026-04-30T12:52:27.446Z
I would not recommend it,negativo,1,2026-04-30T12:52:27.446Z
The file was uploaded successfully,neutral,2,2026-04-30T12:52:27.446Z
Highly recommend this tool,positivo,0,2026-04-30T12:52:27.446Z
Poor customer service,negativo,1,2026-04-30T12:52:27.446Z
Documentation has been updated,neutral,2,2026-04-30T12:52:27.446Z
Highly recommend this tool,positivo,0,2026-04-30T12:52:27.446Z
Terrible experience,negativo,1,2026-04-30T12:52:27.446Z
System maintenance will occur tonight,neutral,2,2026-04-30T12:52:27.446Z
Great support from the team,positivo,0,2026-04-30T12:52:27.446Z
Too many bugs and errors,negativo,1,2026-04-30T12:52:27.446Z
Version 2.1 is now available,neutral,2,2026-04-30T12:52:27.446Z
I love this product,positivo,0,2026-04-30T12:52:27.446Z
It made my work harder,negativo,1,2026-04-30T12:52:27.446Z
The project deadline is next Monday,neutral,2,2026-04-30T12:52:27.446Z
Amazing experience with the service,positivo,0,2026-04-30T12:52:27.446Z
Very disappointed with the performance,negativo,1,2026-04-30T12:52:27.446Z
The meeting is scheduled for 10 AM,neutral,2,2026-04-30T12:52:27.446Z
Truly a game changer,positivo,0,2026-04-30T12:52:27.446Z
Extremely slow and unresponsive,negativo,1,2026-04-30T12:52:27.446Z
Documentation has been updated,neutral,2,2026-04-30T12:52:27.446Z
Everything works perfectly,positivo,0,2026-04-30T12:52:27.446Z
Extremely slow and unresponsive,negativo,1,2026-04-30T12:52:27.446Z
System maintenance will occur tonight,neutral,2,2026-04-30T12:52:27.446Z
Highly recommend this tool,positivo,0,2026-04-30T12:52:27.446Z
This is the worst tool I've used,negativo,1,2026-04-30T12:52:27.446Z
The file was uploaded successfully,neutral,2,2026-04-30T12:52:27.446Z
Very satisfied with the quality,positivo,0,2026-04-30T12:52:27.446Z
I would not recommend it,negativo,1,2026-04-30T12:52:27.446Z
User logged in from a new device,neutral,2,2026-04-30T12:52:27.446Z
Truly a game changer,positivo,0,2026-04-30T12:52:27.446Z
Keeps crashing every time,negativo,1,2026-04-30T12:52:27.446Z
System maintenance will occur tonight,neutral,2,2026-04-30T12:52:27.446Z
The performance is outstanding,positivo,0,2026-04-30T12:52:27.446Z
It made my work harder,negativo,1,2026-04-30T12:52:27.446Z
Documentation has been updated,neutral,2,2026-04-30T12:52:27.446Z
The performance is outstanding,positivo,0,2026-04-30T12:52:27.446Z
Too many bugs and errors,negativo,1,2026-04-30T12:52:27.446Z
The server uptime is 99.9%,neutral,2,2026-04-30T12:52:27.446Z
Excellent usability and speed,positivo,0,2026-04-30T12:52:27.446Z
Extremely slow and unresponsive,negativo,1,2026-04-30T12:52:27.446Z
This update includes bug fixes,neutral,2,2026-04-30T12:52:27.446Z
Everything works perfectly,positivo,0,2026-04-30T12:52:27.446Z
Very disappointed with the performance,negativo,1,2026-04-30T12:52:27.446Z
The file was uploaded successfully,neutral,2,2026-04-30T12:52:27.446Z
Highly recommend this tool,positivo,0,2026-04-30T12:52:27.446Z
Not user friendly at all,negativo,1,2026-04-30T12:52:27.446Z
No major changes were introduced,neutral,2,2026-04-30T12:52:27.446Z
Everything works perfectly,positivo,0,2026-04-30T12:52:27.446Z
