id,texto,etiqueta,fecha
1,Amazing experience with the service,positivo,2025-11-01 00:06:43
2,I would not recommend it,negativo,2025-11-01 04:07:51
3,The file was uploaded successfully,neutral,2025-11-01 05:41:53
4,Highly recommend this tool,positivo,2025-11-01 08:06:35
5,Poor customer service,negativo,2025-11-01 11:32:55
6,Documentation has been updated,neutral,2025-11-01 13:01:52
7,Highly recommend this tool,positivo,2025-11-01 14:08:16
8,Terrible experience,negativo,2025-11-01 14:10:04
9,System maintenance will occur tonight,neutral,2025-11-01 16:13:53
10,Great support from the team,positivo,2025-11-01 19:22:57
11,Too many bugs and errors,negativo,2025-11-01 22:43:08
12,Version 2.1 is now available,neutral,2025-11-01 23:50:15
13,I love this product,positivo,2025-11-02 03:42:04
14,It made my work harder,negativo,2025-11-02 10:21:21
15,The project deadline is next Monday,neutral,2025-11-02 11:20:09
16,Amazing experience with the service,positivo,2025-11-02 11:31:04
17,Very disappointed with the performance,negativo,2025-11-02 11:39:36
18,The meeting is scheduled for 10 AM,neutral,2025-11-02 16:44:01
19,Truly a game changer,positivo,2025-11-02 16:49:46
20,Extremely slow and unresponsive,negativo,2025-11-03 00:22:55
21,Documentation has been updated,neutral,2025-11-03 01:30:44
22,Everything works perfectly,positivo,2025-11-03 01:45:32
23,Extremely slow and unresponsive,negativo,2025-11-03 13:08:31
24,System maintenance will occur tonight,neutral,2025-11-04 12:22:27
25,Highly recommend this tool,positivo,2025-11-04 22:43:20
26,This is the worst tool I've used,negativo,2025-11-05 00:47:26
27,The file was uploaded successfully,neutral,2025-11-05 03:21:03
28,Very satisfied with the quality,positivo,2025-11-05 06:04:18
29,I would not recommend it,negativo,2025-11-06 03:46:10
30,User logged in from a new device,neutral,2025-11-06 03:55:40
31,Truly a game changer,positivo,2025-11-06 04:12:47
32,Keeps crashing every time,negativo,2025-11-06 11:36:42
33,System maintenance will occur tonight,neutral,2025-11-06 15:02:49
34,The performance is outstanding,positivo,2025-11-06 23:26:40
35,It made my work harder,negativo,2025-11-06 23:39:09
36,Documentation has been updated,neutral,2025-11-07 00:52:01
37,The performance is outstanding,positivo,2025-11-07 02:48:44
38,Too many bugs and errors,negativo,2025-11-07 02:50:37
39,The server uptime is 99.9%,neutral,2025-11-07 05:28:47
40,Excellent usability and speed,positivo,2025-11-07 10:55:49
41,Extremely slow and unresponsive,negativo,2025-11-07 15:25:48
42,This update includes bug fixes,neutral,2025-11-07 17:32:55
43,Everything works perfectly,positivo,2025-11-07 20:34:01
44,Very disappointed with the performance,negativo,2025-11-07 22:34:56
45,The file was uploaded successfully,neutral,2025-11-08 02:30:51
46,Highly recommend this tool,positivo,2025-11-08 12:41:14
47,Not user friendly at all,negativo,2025-11-08 13:50:02
48,No major changes were introduced,neutral,2025-11-08 19:59:27
49,Everything works perfectly,positivo,2025-11-08 20:05:43
50,This is the worst tool I've used,negativo,2025-11-08 20:39:39
51,No major changes were introduced,neutral,2025-11-08 22:38:03
52,Great support from the team,positivo,2025-11-09 13:03:24
53,Too many bugs and errors,negativo,2025-11-09 14:04:04
